Variable,Baseline,Downside,Severe,Downside_Shock,Severe_Shock,Shock_Type,Economic_Effect,Weight,Downside_Stress,Severe_Stress,Max_Historical_Shock,Downside_Normalized,Severe_Normalized,Downside_Contribution,Severe_Contribution
GDP_Growth,0.583571,-1.66195,-5.908646,-2.245521,-6.492217,Percentage Points,Economic contraction reduces borrowers' repayment capacity,0.35,0.78593235,2.27227595,6.492217,0.34587891932755793,1.0,0.12105762176464527,0.35
Unemployment_Rate,4.210417,9.783333,11.74,132.3601914014693,178.8322391820098,Relative %,Job losses increase probability of default,0.3,39.70805742044079,53.64967175460294,178.8322391820098,0.7401360739366312,1.0,0.22204082218098933,0.3
Federal_Funds_Rate,4.466667,0.138333,0.069,-96.90299276843336,-98.45522399587881,Relative %,Near-zero rates signal severe economic stress,0.1,9.690299276843337,9.845522399587882,98.45522399587881,0.984234140511321,1.0,0.0984234140511321,0.1
CPI_Rate,0.613294,1.201137,1.016585,0.5878429999999999,0.40329100000000007,Percentage Points,Inflation erodes disposable income and debt affordability,0.05,0.029392149999999995,0.020164550000000003,0.5878429999999999,1.0,0.6860522282310075,0.05,0.03430261141155038
HPI_Growth,0.585053,-3.74156,0.84216,-4.326613,0.257107,Percentage Points,Falling house prices weaken collateral values and borrower equity,0.1,0.4326613,0.0257107,4.326613,1.0,0.059424542939246004,0.1,0.005942454293924601
Income_Growth,0.377772,-1.567608,-3.021443,-1.9453799999999999,-3.399215,Percentage Points,Lower income reduces debt servicing capacity,0.1,0.194538,0.3399215,3.399215,0.5723027228345368,1.0,0.057230272283453676,0.1
